w2,w2,w2,w2,w2,w2,w2,w2,w2,w8,,,,,,,,,,w8,w8,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w14,w14,w14,w14,w14,,,,,,,,,,,w22,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,,,,,,,,,,,,,,w26,,,,,,,,,,,,,,,w25,w1,w1,w1,w1,w1,w1,w1,w1
w4,,,,,,,,,w17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w16,w16,w16,w16,,,,,,,,,w15,w15,w15,w15,w15,w15,w15,,,,,,,,,,,,,,,,,,w23,,,,,,w23,,,w23,,,,,,,,,,w3,,,,
,,,,,,,,,w17,,,,,,,,,,,,,,w5,,,,,,,,,,,,,,,,,w16,w16,w16,w16,,,,,,,,,w15,w15,w15,w15,w15,w15,w15,,,,,w22,w22,,,,,,,,,,,,w23,w23,w23,w23,w23,w23,w23,,,w23,,,,,,,,,,w3,w3,,,
,,,,,,,,,,,,,,,,,,,,,,,w5,,,,,,,,,,,,,,,,,w16,w16,w16,w16,,,,,,,,,w15,w15,w15,w15,w15,w15,w15,,,,,w22,w22,,,,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,w3,,,
,,,,,,,,,,,,,,,,,,,,,,,w5,,,,,,,,,,,,,,,,,,,,,,,,,,w22,,,,,,w15,w15,w15,w15,,,,,w22,w22,w11,,,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,w5,w5,w5,w5,w5,w5,w5,w5,w5,w5,w5,,,,,,,,,,,,,,,,w22,,,,,,,,,,,,,,w22,,w11,,,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,w5,w5,,,,,,,,,w5,,,,,,,,,,,,,,,,w22,,,,,,,,,,,,,,w22,,w11,,,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w5,,,,,,,,,,,,,,,,w22,,,,,,,,,,,,,,w22,,w11,,,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w5,,,,,,,,,,,,,,,,w22,,,,,,,,,,,,,,w22,,w11,,,,,,w24,w24,w24,w24,w24,w24,w24,w24,w24,,,,,,w23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w5,,,,,,,,,,,,,,,,w22,,,,,,,,,,,,,,w22,w22,w11,,,,,,,,,,,w24,w24,w24,w24,,,,,,w23,w23,,,,,,,,,,,,,
,,,,,,,w9,w9,w9,w9,w9,w9,w9,,,,,,,,,,,,,,,,,,,,w5,,,,,,,,,,,,,,,,w22,,,,,,,,,,,,,,w22,w22,w11,,,,,,,,,,,,,,,,,,,,w23,w23,,,,,,,,,,,,,
w9,w9,w9,w9,w9,w9,w9,w9,w9,w9,w9,w9,w9,w9,,,,,,,,,,,,,,,,,,,,w5,,,,,,w5,,,,,,,,,,,,,,,,,,,,,,,,w22,w22,w11,,,,,,,,,,,,,,,,,,,,w23,w23,,,,,,,,,,,,,
,,,,,w9,w9,w9,,,,,,,,,,,,,,,,,,,,,,,,,,w5,,,,,,w5,,,,,,,,,,,,,,,,,,,,,,,,w22,w22,w11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w5,,,,,,w5,,,,,,,,,,,,,,,,,w11,w11,,,,,,w22,w22,w11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w5,w5,w5,w5,w5,w5,w5,,,,,,,,,,,,,w11,w11,w11,w11,w11,w11,,,,,,w22,w22,w11,w11,w11,w11,w11,w11,w11,w11,w11,w11,w11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w5,w5,,,w13,,,,,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w13,,,,,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,,,,,,,w12
,,,,,,,,,,,,,,,,,,,,w10,,,,,,,,,,,,,,,,,w13,,,,,,,,,,,,,,,,,,,,w11,w11,,,,,,,,,,,,,,,,w11,w11,,,,,,,,,,,,,,,,,,,,,,,,w12
,,,,,,,,,,w18,w18,w18,w18,w18,,,,,,w10,,,,,,,,,,,,,,,,,w13,,,,,,,,,,,,,,,,,,,,w11,w11,,,,,,,,w23,w23,w23,,,,,,w11,w11,,,,,,,,,,,,,,,,,,,,,,,,w12
,,,,,,,,,,,,,,,,,,,,w10,,,,,,,,,,,,,,,,,w13,,,,,,,,,,,,,,,,,,,,,w11,,,,,,,,w23,w23,w23,,,,,,w11,,,,,,,,,,,,,,,,,,,,,,,,,w12
,,,,,,,,,,,,,,,,,,,,w10,,,,,,,,,,,,,,,,,w13,,,,,,,,w21,w21,w21,w21,w21,,,,,,,,,w11,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,,,,,,,,w12
,,,,,,,,,,,,,,,,,,,,w10,,,,,,,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,,,,,,,,,w11,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,,,,,,,,w12
,,,,,,w8,,,,,,,,,,,,,,w10,,,,,,,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,,,,,,,,,w11,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,,,w12,w12,w12,w12,w12,w12
,,,,,,w8,,,,,,,,,,,,,,w10,w10,w10,w10,w10,w10,w10,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,,,,,,,,,w11,,,,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,,,w12,w12,w12,,,
,,,,,,w8,,,,,,,,,,,,,,,,,w10,w10,w10,w10,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,,,,,,,,,w11,w11,w11,w11,,,,,,,,,,,,,w11,,,,,,,,,,,,,,,,,,,,w12,w12,w12,,,
,,,,,,w8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,,,,,,,,,,,,,,,,,,,,,w11,w11,w11,w11,w11,,,,,,,,,,,,,,,,,,,,w12,w12,w12,,,
,,,,w8,w8,w8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,w21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w8,w8,w8,w8,w8,,,,,,,,,,w19,,,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,w21,w21,w21,w21,w21,w21,w21,w21,w21,w21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w8,,,,,,,,,,,,,,w19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w21,w21,w21,w21,w21,w21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w26,w26,w26,w26,w26,w26,w26,,,,,,,,,,,,,,,w25
w8,,,,,,,,,,,,,,w19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w25
w8,,,,,,,,,,,,,,w19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w26,,,,,,,,,,,,,,,,,,,,,,w25
w8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w26,,,,,,,,,,,,,,,,,,,,,,w25
w8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w26,,,,,,,,,,,,,,,,,,,,,,w25
w8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w26,,,,,,,,,,,,,,,,,,,,,,w25
w8,w8,w8,w8,w8,w8,w8,w8,w8,w8,,,,,,,,,,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,w13,,,,,,,,,,,w22,w22,w22,w22,w22,w22,w22,w22,w22,w22,w22,w22,w22,w22,w22,,,,,,,,,,,,,,,w26,,,,,,,,,,,,,,w25,w25,w25,w25,w25,w25,w25,w25,w25
